time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,precipitation,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m
2026-06-23 00:00:00,29.5,73,24.1,1002.5,0.1,43,15.0,246,34.9
2026-06-23 01:00:00,29.4,73,24.1,1002.3,0.0,31,14.9,252,39.6
2026-06-23 02:00:00,29.2,75,24.3,1001.9,0.0,50,15.0,253,32.8
2026-06-23 03:00:00,29.2,75,24.3,1001.7,0.0,80,15.2,256,33.1
2026-06-23 04:00:00,29.1,77,24.6,1002.0,0.0,88,15.4,263,32.8
2026-06-23 05:00:00,29.1,76,24.5,1002.0,0.0,43,14.2,267,33.8
2026-06-23 06:00:00,28.9,79,24.8,1002.2,0.0,59,14.8,267,32.0
2026-06-23 07:00:00,29.0,80,25.1,1002.7,0.1,37,16.8,266,38.9
2026-06-23 08:00:00,29.8,75,24.8,1002.9,0.1,55,18.2,265,43.2
2026-06-23 09:00:00,30.6,71,24.6,1002.9,0.1,48,18.2,265,45.7
2026-06-23 10:00:00,31.4,66,24.4,1003.0,0.0,74,17.3,261,44.6
2026-06-23 11:00:00,32.4,60,23.7,1002.9,0.0,70,17.0,263,45.0
2026-06-23 12:00:00,32.6,58,23.4,1002.5,0.0,70,17.5,261,45.4
2026-06-23 13:00:00,32.6,59,23.5,1001.7,0.0,78,18.9,259,48.6
2026-06-23 14:00:00,32.0,62,23.9,1001.0,0.0,5,18.5,255,48.6
2026-06-23 15:00:00,32.3,59,23.3,1000.5,0.0,24,18.6,248,47.5
2026-06-23 16:00:00,31.9,60,23.3,1000.0,0.0,64,19.4,247,49.3
2026-06-23 17:00:00,31.3,62,23.2,1000.1,0.0,52,17.5,251,49.0
2026-06-23 18:00:00,30.7,65,23.3,1000.1,0.0,40,17.8,250,44.3
2026-06-23 19:00:00,30.0,69,23.6,1000.7,0.0,51,18.6,247,45.0
2026-06-23 20:00:00,29.7,72,24.2,1001.0,0.0,37,20.4,241,47.2
2026-06-23 21:00:00,29.5,73,24.3,1001.4,0.0,27,20.7,236,48.2
2026-06-23 22:00:00,29.5,73,24.1,1001.6,0.0,50,21.1,240,50.4
2026-06-23 23:00:00,29.6,73,24.3,1001.7,0.1,59,19.5,252,48.2
2026-06-24 00:00:00,29.4,75,24.4,1001.5,0.0,34,19.1,256,49.7
2026-06-24 01:00:00,29.2,76,24.5,1001.2,0.0,52,18.3,257,40.7
2026-06-24 02:00:00,29.0,77,24.6,1000.9,0.0,100,19.5,260,42.8
2026-06-24 03:00:00,28.9,78,24.7,1000.6,0.0,37,19.2,263,45.0
2026-06-24 04:00:00,28.6,81,24.9,1000.5,0.0,55,19.4,263,44.6
2026-06-24 05:00:00,28.9,78,24.7,1000.3,0.0,98,17.8,269,42.1
2026-06-24 06:00:00,28.9,77,24.5,1000.7,0.0,95,18.4,272,39.6
2026-06-24 07:00:00,29.1,77,24.6,1001.0,0.0,98,19.8,274,47.5
2026-06-24 08:00:00,29.5,74,24.4,1001.6,0.0,99,19.1,271,46.1
2026-06-24 09:00:00,30.2,71,24.3,1001.9,0.0,99,19.8,263,46.8
2026-06-24 10:00:00,30.5,70,24.4,1002.1,0.1,98,20.8,258,50.0
2026-06-24 11:00:00,31.6,64,24.0,1002.0,0.1,71,22.3,256,52.2
2026-06-24 12:00:00,31.8,64,24.2,1001.6,0.2,80,22.8,250,55.8
2026-06-24 13:00:00,31.6,66,24.5,1001.0,0.2,63,22.2,246,56.5
2026-06-24 14:00:00,31.6,67,24.6,1000.7,0.1,59,21.2,244,55.1
2026-06-24 15:00:00,31.5,66,24.5,1000.3,0.1,72,21.1,243,53.3
2026-06-24 16:00:00,31.2,68,24.5,1000.0,0.0,93,21.5,243,53.3
2026-06-24 17:00:00,31.5,64,24.0,999.3,0.0,47,19.1,252,52.9
2026-06-24 18:00:00,30.7,67,23.9,999.4,0.0,48,18.0,252,46.4
2026-06-24 19:00:00,30.1,70,24.0,999.9,0.0,77,18.4,246,43.9
2026-06-24 20:00:00,29.7,73,24.4,1000.1,0.1,84,18.5,241,44.3
2026-06-24 21:00:00,29.5,74,24.4,1000.9,0.1,30,19.0,245,44.6
2026-06-24 22:00:00,29.4,75,24.5,1001.6,0.1,31,17.9,251,44.6
2026-06-24 23:00:00,29.6,74,24.4,1001.7,0.0,26,17.2,255,41.8
2026-06-25 00:00:00,29.2,76,24.5,1001.6,0.0,32,15.9,260,36.7
2026-06-25 01:00:00,29.1,75,24.3,1001.2,0.0,33,14.6,261,34.2
2026-06-25 02:00:00,29.0,75,24.2,1000.9,0.0,34,14.7,263,31.3
2026-06-25 03:00:00,28.9,76,24.2,1000.8,0.0,50,15.2,260,32.4
2026-06-25 04:00:00,28.9,76,24.2,1000.8,0.0,81,16.1,259,34.9
2026-06-25 05:00:00,28.8,78,24.5,1001.0,0.0,54,15.5,265,35.6
2026-06-25 06:00:00,28.7,79,24.8,1001.5,0.0,96,14.3,265,33.5
2026-06-25 07:00:00,29.2,77,24.7,1001.9,0.0,73,17.4,264,39.6
2026-06-25 08:00:00,29.8,73,24.6,1002.2,0.0,45,19.0,261,45.0
2026-06-25 09:00:00,30.7,69,24.5,1002.6,0.1,45,19.7,257,47.9
2026-06-25 10:00:00,31.6,65,24.2,1002.6,0.0,45,19.1,254,48.6
2026-06-25 11:00:00,31.8,64,24.0,1002.6,0.1,91,19.2,250,48.2
2026-06-25 12:00:00,31.9,63,24.1,1002.5,0.1,88,19.3,248,49.3
2026-06-25 13:00:00,31.8,64,24.3,1002.3,0.1,85,18.8,245,48.6
2026-06-25 14:00:00,31.8,66,24.6,1001.8,0.1,98,19.2,243,48.6
