model,forecast_horizon,mae,rmse,r2
Persistence baseline,1_hour,1.3957509157509158,3.4026492587426604,0.9784728057050422
Persistence baseline,6_hours,6.187106227106227,10.848669336541988,0.7810620831104295
Persistence baseline,24_hours,12.923223443223444,18.21764631785998,0.38207596530515586
Persistence baseline,48_hours,16.92058608058608,22.888713087746694,0.02474331735113111
Persistence baseline,72_hours,18.824029304029303,25.19547025978522,-0.1810289348582539
Training mean baseline,1_hour,18.394661429126955,23.193485660553524,-0.000195980618866054
Training mean baseline,6_hours,18.389242400454943,23.18787871078231,-0.00020743183907656615
Training mean baseline,24_hours,18.378032793396557,23.177988884218575,-0.00023501948452753219
Training mean baseline,48_hours,18.37070104291879,23.181207712633483,-0.000341534446702374
Training mean baseline,72_hours,18.375334843191833,23.18947894231206,-0.00045505108812182726
