model,forecast_horizon,mae,rmse,r2
Persistence baseline,1_hour,1.3957509157509158,3.4026492587426604,0.9784728057050422
Persistence baseline,6_hours,6.187106227106227,10.848669336541988,0.7810620831104295
Persistence baseline,24_hours,12.923223443223444,18.21764631785998,0.38207596530515586
Persistence baseline,48_hours,16.92058608058608,22.888713087746694,0.02474331735113111
Persistence baseline,72_hours,18.824029304029303,25.19547025978522,-0.1810289348582539
Training mean baseline,1_hour,18.394661429126955,23.193485660553524,-0.000195980618866054
Training mean baseline,6_hours,18.389242400454943,23.18787871078231,-0.00020743183907656615
Training mean baseline,24_hours,18.378032793396557,23.177988884218575,-0.00023501948452753219
Training mean baseline,48_hours,18.37070104291879,23.181207712633483,-0.000341534446702374
Training mean baseline,72_hours,18.375334843191833,23.18947894231206,-0.00045505108812182726
Ridge Regression,1_hour,1.354317862568238,2.549098763553364,0.9879183462353247
Ridge Regression,6_hours,4.79118411547948,7.044165483215843,0.9076945939646376
Ridge Regression,24_hours,10.520618407714958,14.445781574589944,0.6114627670349888
Ridge Regression,48_hours,14.284202915352276,19.044448926180493,0.32483020503368343
Ridge Regression,72_hours,15.247553760126445,19.80432933624224,0.27031422449436027
Random Forest,1_hour,0.44801567102917045,1.7044721001355452,0.9945982702242991
Random Forest,6_hours,2.909119719830107,5.030179434264237,0.9529309978296332
Random Forest,24_hours,10.52229485011913,14.481497678078327,0.6095391340475362
Random Forest,48_hours,15.230543325780538,20.161188138394028,0.24332666629849808
Random Forest,72_hours,16.612372813063345,21.434159884846707,0.14527081676837117
