model,data_source,forecast_horizon_hours,training_rows,test_rows,mae,rmse,r2,model_file
XGBoost,Hopsworks Feature Store,1,28400,7100,0.861604002294406,1.722754416361028,0.9937241822817535,models\xgboost_hourly_hopsworks\xgboost_01h.joblib
XGBoost,Hopsworks Feature Store,2,28400,7099,1.452529000167965,2.883463749216718,0.9824125954577378,models\xgboost_hourly_hopsworks\xgboost_02h.joblib
XGBoost,Hopsworks Feature Store,3,28400,7098,1.7886048443520965,3.3839952733370184,0.9757684277396671,models\xgboost_hourly_hopsworks\xgboost_03h.joblib
XGBoost,Hopsworks Feature Store,4,28400,7097,1.945628637727993,3.4169114406119583,0.9752862280756965,models\xgboost_hourly_hopsworks\xgboost_04h.joblib
XGBoost,Hopsworks Feature Store,5,28400,7096,2.2804397440010424,3.811562435579291,0.9692370975840983,models\xgboost_hourly_hopsworks\xgboost_05h.joblib
XGBoost,Hopsworks Feature Store,6,28400,7095,2.743626654895785,4.471441197561195,0.9576497730299399,models\xgboost_hourly_hopsworks\xgboost_06h.joblib
XGBoost,Hopsworks Feature Store,7,28400,7094,3.2437087092091743,5.278595709696341,0.9409639626011677,models\xgboost_hourly_hopsworks\xgboost_07h.joblib
XGBoost,Hopsworks Feature Store,8,28400,7093,3.702710132714506,6.003733274359226,0.9236105411081063,models\xgboost_hourly_hopsworks\xgboost_08h.joblib
XGBoost,Hopsworks Feature Store,9,28400,7092,4.118426860824387,6.6390591216714565,0.9065660350846103,models\xgboost_hourly_hopsworks\xgboost_09h.joblib
XGBoost,Hopsworks Feature Store,10,28400,7091,4.46609678848088,7.100605895303294,0.893100759854967,models\xgboost_hourly_hopsworks\xgboost_10h.joblib
XGBoost,Hopsworks Feature Store,11,28400,7090,4.772782245307782,7.480333870185095,0.8813410208338444,models\xgboost_hourly_hopsworks\xgboost_11h.joblib
XGBoost,Hopsworks Feature Store,12,28400,7089,5.112342605235664,7.905538201495123,0.8674498774742272,models\xgboost_hourly_hopsworks\xgboost_12h.joblib
XGBoost,Hopsworks Feature Store,13,28400,7088,5.474253867603586,8.328730602933152,0.8528642285118453,models\xgboost_hourly_hopsworks\xgboost_13h.joblib
XGBoost,Hopsworks Feature Store,14,28400,7087,5.872691966051844,8.808652315169992,0.835407979995846,models\xgboost_hourly_hopsworks\xgboost_14h.joblib
XGBoost,Hopsworks Feature Store,15,28400,7086,6.226244805594672,9.243094271658732,0.8187628998096236,models\xgboost_hourly_hopsworks\xgboost_15h.joblib
XGBoost,Hopsworks Feature Store,16,28400,7085,6.550544676312949,9.645685143025617,0.8026239009678364,models\xgboost_hourly_hopsworks\xgboost_16h.joblib
XGBoost,Hopsworks Feature Store,17,28400,7084,6.852391468071789,9.996794777479664,0.7879883034354493,models\xgboost_hourly_hopsworks\xgboost_17h.joblib
XGBoost,Hopsworks Feature Store,18,28400,7083,7.16274850509538,10.389721299605297,0.7709892037284725,models\xgboost_hourly_hopsworks\xgboost_18h.joblib
XGBoost,Hopsworks Feature Store,19,28400,7082,7.512890102297059,10.874990051979536,0.7490912460685102,models\xgboost_hourly_hopsworks\xgboost_19h.joblib
XGBoost,Hopsworks Feature Store,20,28400,7081,7.815462014648541,11.313880777936664,0.7284241096528754,models\xgboost_hourly_hopsworks\xgboost_20h.joblib
XGBoost,Hopsworks Feature Store,21,28400,7080,8.168361871255993,11.780589652083577,0.7055454571599757,models\xgboost_hourly_hopsworks\xgboost_21h.joblib
XGBoost,Hopsworks Feature Store,22,28400,7079,8.49927503831273,12.208702782703497,0.6837435027740377,models\xgboost_hourly_hopsworks\xgboost_22h.joblib
XGBoost,Hopsworks Feature Store,23,28400,7078,8.817199378809912,12.642672354229349,0.6608528336933615,models\xgboost_hourly_hopsworks\xgboost_23h.joblib
XGBoost,Hopsworks Feature Store,24,28400,7077,9.116906685025338,13.019782990023288,0.6403103396826344,models\xgboost_hourly_hopsworks\xgboost_24h.joblib
XGBoost,Hopsworks Feature Store,25,28400,7076,9.39346331105251,13.381329333650992,0.6200422813346941,models\xgboost_hourly_hopsworks\xgboost_25h.joblib
XGBoost,Hopsworks Feature Store,26,28400,7075,9.670996467401618,13.694264111177755,0.6020482042313093,models\xgboost_hourly_hopsworks\xgboost_26h.joblib
XGBoost,Hopsworks Feature Store,27,28400,7074,9.888456319259458,13.980878311444581,0.5852004032904341,models\xgboost_hourly_hopsworks\xgboost_27h.joblib
XGBoost,Hopsworks Feature Store,28,28400,7073,10.080877351268724,14.232018383630791,0.5701481720774133,models\xgboost_hourly_hopsworks\xgboost_28h.joblib
XGBoost,Hopsworks Feature Store,29,28400,7072,10.286600471621725,14.516556387764565,0.5527780032212593,models\xgboost_hourly_hopsworks\xgboost_29h.joblib
XGBoost,Hopsworks Feature Store,30,28400,7071,10.489026511614064,14.790678405152518,0.535710824912612,models\xgboost_hourly_hopsworks\xgboost_30h.joblib
XGBoost,Hopsworks Feature Store,31,28400,7070,10.67292865013975,15.031615364921807,0.5204431158892908,models\xgboost_hourly_hopsworks\xgboost_31h.joblib
XGBoost,Hopsworks Feature Store,32,28400,7069,10.802172245441696,15.228623246373981,0.5077716938616786,models\xgboost_hourly_hopsworks\xgboost_32h.joblib
XGBoost,Hopsworks Feature Store,33,28400,7068,10.927602650286724,15.381751910250316,0.4977962876483609,models\xgboost_hourly_hopsworks\xgboost_33h.joblib
XGBoost,Hopsworks Feature Store,34,28400,7067,11.020459733387867,15.505188574904867,0.48967662102503373,models\xgboost_hourly_hopsworks\xgboost_34h.joblib
XGBoost,Hopsworks Feature Store,35,28400,7066,11.0957777988057,15.597876381618153,0.4835216053055146,models\xgboost_hourly_hopsworks\xgboost_35h.joblib
XGBoost,Hopsworks Feature Store,36,28400,7065,11.21543330997756,15.71987494037116,0.4753661498583607,models\xgboost_hourly_hopsworks\xgboost_36h.joblib
XGBoost,Hopsworks Feature Store,37,28400,7064,11.35083686292914,15.86121676736873,0.4658257301763573,models\xgboost_hourly_hopsworks\xgboost_37h.joblib
XGBoost,Hopsworks Feature Store,38,28400,7063,11.372641234362106,15.899826948914646,0.46314813298751634,models\xgboost_hourly_hopsworks\xgboost_38h.joblib
XGBoost,Hopsworks Feature Store,39,28400,7062,11.457032408129558,16.00587123838866,0.45587814542316873,models\xgboost_hourly_hopsworks\xgboost_39h.joblib
XGBoost,Hopsworks Feature Store,40,28400,7061,11.541731842650416,16.080569408928053,0.45070163839386235,models\xgboost_hourly_hopsworks\xgboost_40h.joblib
XGBoost,Hopsworks Feature Store,41,28400,7060,11.57620210944762,16.076290770181934,0.45089738067233043,models\xgboost_hourly_hopsworks\xgboost_41h.joblib
XGBoost,Hopsworks Feature Store,42,28400,7059,11.610913362190969,16.08337449208379,0.45030572874610864,models\xgboost_hourly_hopsworks\xgboost_42h.joblib
XGBoost,Hopsworks Feature Store,43,28400,7058,11.707636443235678,16.15144981138908,0.44552251939886733,models\xgboost_hourly_hopsworks\xgboost_43h.joblib
XGBoost,Hopsworks Feature Store,44,28400,7057,11.766644913937057,16.174437055723196,0.44379878781384974,models\xgboost_hourly_hopsworks\xgboost_44h.joblib
XGBoost,Hopsworks Feature Store,45,28400,7056,11.800696622217053,16.197268140633266,0.4420573413563824,models\xgboost_hourly_hopsworks\xgboost_45h.joblib
XGBoost,Hopsworks Feature Store,46,28400,7055,11.831452317917119,16.231843818441238,0.43948850235254666,models\xgboost_hourly_hopsworks\xgboost_46h.joblib
XGBoost,Hopsworks Feature Store,47,28400,7054,11.890400497981634,16.307240324375833,0.4340963807859167,models\xgboost_hourly_hopsworks\xgboost_47h.joblib
XGBoost,Hopsworks Feature Store,48,28400,7053,11.899254657589053,16.325392557851174,0.43266230343466616,models\xgboost_hourly_hopsworks\xgboost_48h.joblib
XGBoost,Hopsworks Feature Store,49,28400,7052,11.93380785394107,16.321957529255727,0.43272735430713893,models\xgboost_hourly_hopsworks\xgboost_49h.joblib
XGBoost,Hopsworks Feature Store,50,28400,7051,12.027179062848328,16.381474225612905,0.4284076144640552,models\xgboost_hourly_hopsworks\xgboost_50h.joblib
XGBoost,Hopsworks Feature Store,51,28400,7050,12.083735156769448,16.440157492461978,0.4241283961662756,models\xgboost_hourly_hopsworks\xgboost_51h.joblib
XGBoost,Hopsworks Feature Store,52,28400,7049,12.109852749568416,16.479480457217655,0.4211925266158122,models\xgboost_hourly_hopsworks\xgboost_52h.joblib
XGBoost,Hopsworks Feature Store,53,28400,7048,12.177029031630136,16.54330649465991,0.4165209780471184,models\xgboost_hourly_hopsworks\xgboost_53h.joblib
XGBoost,Hopsworks Feature Store,54,28400,7047,12.25433771515867,16.614677582357142,0.4113080483461907,models\xgboost_hourly_hopsworks\xgboost_54h.joblib
XGBoost,Hopsworks Feature Store,55,28400,7046,12.260437308405395,16.62925738949719,0.4101195547733998,models\xgboost_hourly_hopsworks\xgboost_55h.joblib
XGBoost,Hopsworks Feature Store,56,28400,7045,12.338465838571064,16.71772935710638,0.40369521160471,models\xgboost_hourly_hopsworks\xgboost_56h.joblib
XGBoost,Hopsworks Feature Store,57,28400,7044,12.335743280786604,16.689826579380256,0.40556561888322684,models\xgboost_hourly_hopsworks\xgboost_57h.joblib
